Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
A0A5A4LZY2	A0A5A4LZY2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4LZY7	A0A5A4LZY7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5A4LZZ7	A0A5A4LZZ7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M011	A0A5A4M011_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M032	A0A5A4M032_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M050	A0A5A4M050_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M1T6	A0A5A4M1T6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M1V6	A0A5A4M1V6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M1X5	A0A5A4M1X5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M1Z1	A0A5A4M1Z1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M396	A0A5A4M396_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M3A7	A0A5A4M3A7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M3B5	A0A5A4M3B5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M3X5	A0A5A4M3X5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5A4M3Y6	A0A5A4M3Y6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M3Z6	A0A5A4M3Z6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M412	A0A5A4M412_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M655	A0A5A4M655_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4M663	A0A5A4M663_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M674	A0A5A4M674_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4M686	A0A5A4M686_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4MDF7	A0A5A4MDF7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5A4MDG7	A0A5A4MDG7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4MDI6	A0A5A4MDI6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5A4U6H9	A0A5A4U6H9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5B8KB08	A0A5B8KB08_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5B8KHC8	A0A5B8KHC8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5B8NEI9	A0A5B8NEI9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1384	
A0A5B8YRH6	A0A5B8YRH6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5B8YRI6	A0A5B8YRI6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5B8ZZ50	A0A5B8ZZ50_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1390	
A0A5B9BG83	A0A5B9BG83_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5B9BGI8	A0A5B9BGI8_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5B9BGQ7	A0A5B9BGQ7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1382	
A0A5B9BH24	A0A5B9BH24_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1356	Homo sapiens (Human) [TaxID: 9606]
A0A5B9BH95	A0A5B9BH95_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5B9BHU7	A0A5B9BHU7_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5B9BI51	A0A5B9BI51_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5B9BIJ4	A0A5B9BIJ4_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5B9BJW1	A0A5B9BJW1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1382	
A0A5B9GAE8	A0A5B9GAE8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5B9GB42	A0A5B9GB42_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1384	
A0A5B9MSJ9	A0A5B9MSJ9_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5B9MUE4	A0A5B9MUE4_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5C0PW94	A0A5C0PW94_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1390	
A0A5C0PX07	A0A5C0PX07_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1KC28	A0A5C1KC28_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZWP7	A0A5C1ZWP7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZWQ9	A0A5C1ZWQ9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZWR0	A0A5C1ZWR0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZWR3	A0A5C1ZWR3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZWR8	A0A5C1ZWR8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZWX0	A0A5C1ZWX0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZWX9	A0A5C1ZWX9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZWY8	A0A5C1ZWY8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZY07	A0A5C1ZY07_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZY17	A0A5C1ZY17_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZY22	A0A5C1ZY22_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZYL1	A0A5C1ZYL1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZYL9	A0A5C1ZYL9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZYM5	A0A5C1ZYM5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZYT7	A0A5C1ZYT7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZYU4	A0A5C1ZYU4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C1ZZ59	A0A5C1ZZ59_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZZ65	A0A5C1ZZ65_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZZ73	A0A5C1ZZ73_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZZ91	A0A5C1ZZ91_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZZA1	A0A5C1ZZA1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C1ZZA6	A0A5C1ZZA6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C2A3L8	A0A5C2A3L8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C2A3M6	A0A5C2A3M6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C2A3S1	A0A5C2A3S1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C2A3U5	A0A5C2A3U5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5C2A3V5	A0A5C2A3V5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5C2A3W4	A0A5C2A3W4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5J6ANX3	A0A5J6ANX3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6ANZ0	A0A5J6ANZ0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6ANZ2	A0A5J6ANZ2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP08	A0A5J6AP08_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP15	A0A5J6AP15_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP30	A0A5J6AP30_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP32	A0A5J6AP32_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP48	A0A5J6AP48_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP63	A0A5J6AP63_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP67	A0A5J6AP67_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6AP86	A0A5J6AP86_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APA0	A0A5J6APA0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APA8	A0A5J6APA8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APC2	A0A5J6APC2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APC3	A0A5J6APC3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APC8	A0A5J6APC8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APD9	A0A5J6APD9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1382	
A0A5J6APE1	A0A5J6APE1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APE3	A0A5J6APE3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APF4	A0A5J6APF4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APG3	A0A5J6APG3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APH2	A0A5J6APH2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1377	
A0A5J6API7	A0A5J6API7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APK3	A0A5J6APK3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APL6	A0A5J6APL6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APM6	A0A5J6APM6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6APN5	A0A5J6APN5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6CMW7	A0A5J6CMW7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6CMW9	A0A5J6CMW9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5J6CXE3	A0A5J6CXE3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6DDD7	A0A5J6DDD7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5J6KK84	A0A5J6KK84_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5J6KL68	A0A5J6KL68_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5J6KLJ5	A0A5J6KLJ5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5J6KLN8	A0A5J6KLN8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5J6NJ76	A0A5J6NJ76_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6NMQ4	A0A5J6NMQ4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5J6SD02	A0A5J6SD02_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5J6SWH8	A0A5J6SWH8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1384	
A0A5J6VFM1	A0A5J6VFM1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5J6YEZ3	A0A5J6YEZ3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1385	
A0A5K1KAZ1	A0A5K1KAZ1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KAZ4	A0A5K1KAZ4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB03	A0A5K1KB03_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB06	A0A5K1KB06_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB15	A0A5K1KB15_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB18	A0A5K1KB18_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB27	A0A5K1KB27_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB30	A0A5K1KB30_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB39	A0A5K1KB39_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB42	A0A5K1KB42_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB51	A0A5K1KB51_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1377	
A0A5K1KB54	A0A5K1KB54_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB82	A0A5K1KB82_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KB96	A0A5K1KB96_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K1KBA0	A0A5K1KBA0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5K7VWR5	A0A5K7VWR5_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5K7W0I8	A0A5K7W0I8_CVHNL	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Human coronavirus NL63 (HCoV-NL63)	1355	Homo sapiens (Human) [TaxID: 9606]
A0A5P8D0D8	A0A5P8D0D8_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0D9	A0A5P8D0D9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0F3	A0A5P8D0F3_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0G1	A0A5P8D0G1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0G4	A0A5P8D0G4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0G9	A0A5P8D0G9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0H9	A0A5P8D0H9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5P8D0I4	A0A5P8D0I4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0J7	A0A5P8D0J7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0K2	A0A5P8D0K2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0K6	A0A5P8D0K6_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0L4	A0A5P8D0L4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0L5	A0A5P8D0L5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0M4	A0A5P8D0M4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0Q4	A0A5P8D0Q4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0R4	A0A5P8D0R4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D0S2	A0A5P8D0S2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D1A7	A0A5P8D1A7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D1B0	A0A5P8D1B0_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D1B4	A0A5P8D1B4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D216	A0A5P8D216_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D223	A0A5P8D223_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D233	A0A5P8D233_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5P8D2E1	A0A5P8D2E1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D2E7	A0A5P8D2E7_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D2F5	A0A5P8D2F5_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D2H1	A0A5P8D2H1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D2I2	A0A5P8D2I2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D2I9	A0A5P8D2I9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5P8D3C9	A0A5P8D3C9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D3E1	A0A5P8D3E1_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5P8D3F2	A0A5P8D3F2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1383	
A0A5P8DIL2	A0A5P8DIL2_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1389	
A0A5Q0V1X9	A0A5Q0V1X9_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
A0A5Q0V1Z4	A0A5Q0V1Z4_9ALPC	Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)	S	Porcine epidemic diarrhea virus	1386	
